> 12:29:49.255942 IP 93.126.56.1 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.255957 IP 80.191.114.59 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.255963 IP 80.191.114.59 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.256144 IP 93.126.56.1 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.256172 IP 93.126.56.1 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.256481 IP 93.126.56.1 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.256568 IP 93.126.56.1 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.257086 IP 80.191.114.59 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.257098 IP 80.191.114.59 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.257470 IP 93.126.56.1 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.257565 IP 80.191.114.59 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.257603 IP 80.191.114.59 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.258575 IP 178.173.128.245 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.258657 IP 178.173.128.245 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.258669 IP 178.173.128.245 > 193.168.100.1: ICMP time exceeded in-transit, length 36
> 12:29:49.258677 IP 178.173.128.245 > 193.168.100.1: ICMP time exceeded in-transit, length 36


